広域_ID,広域_名称,基礎_ID,基礎_名称,人口（男女総数）,人口（男性）,人口（女性）,2015年（平成27年）の人口（組替）（人）,5年間の人口増減数（人）,5年間の人口増減率（％）,人口性比,面積（km2）,人口密度（1km2当たり）,世帯数（世帯）,2015年（平成27年）の世帯数（組替）（世帯）,5年間の世帯増減数（世帯）,5年間の世帯増減率（％）
12,千葉県,12236,香取市,72427.0,35630.0,36797.0,77499.0,-5072.0,-6.5446,96.82855,262.35,276.1,27528.0,27294.0,234.0,0.85733
12,千葉県,12237,山武市,48462.0,24195.0,24267.0,52222.0,-3760.0,-7.20003,99.7033,146.77,330.2,19330.0,19454.0,-124.0,-0.6374
12,千葉県,12238,いすみ市,35571.0,17374.0,18197.0,38594.0,-3023.0,-7.83282,95.47728,157.5,225.8,14580.0,14849.0,-269.0,-1.81157
12,千葉県,12239,大網白里市,48155.0,23552.0,24603.0,49184.0,-1029.0,-2.09214,95.72816,58.08,829.1,19531.0,18849.0,682.0,3.61823
12,千葉県,12322,酒々井町,20760.0,10160.0,10600.0,20955.0,-195.0,-0.93057,95.84906,19.01,1092.1,9388.0,8970.0,418.0,4.65998
12,千葉県,12329,栄町,20140.0,9868.0,10272.0,21228.0,-1088.0,-5.12531,96.06698,32.51,619.5,8245.0,8185.0,60.0,0.73305
12,千葉県,12342,神崎町,5820.0,2938.0,2882.0,6133.0,-313.0,-5.10354,101.9431,19.9,292.5,2287.0,2207.0,80.0,3.62483
12,千葉県,12347,多古町,13748.0,6942.0,6806.0,14724.0,-976.0,-6.62863,101.99824,72.8,188.8,5039.0,5053.0,-14.0,-0.27706
12,千葉県,12349,東庄町,13235.0,6578.0,6657.0,14152.0,-917.0,-6.47965,98.81328,46.25,286.2,4579.0,4562.0,17.0,0.37264
12,千葉県,12403,九十九里町,14644.0,7203.0,7441.0,16510.0,-1866.0,-11.30224,96.80151,24.46,598.7,6143.0,6411.0,-268.0,-4.18032
12,千葉県,12409,芝山町,7042.0,3478.0,3564.0,7431.0,-389.0,-5.23483,97.58698,43.24,162.9,2501.0,2453.0,48.0,1.95679
12,千葉県,12410,横芝光町,22091.0,10771.0,11320.0,23762.0,-1671.0,-7.03224,95.15018,67.01,329.7,8238.0,8433.0,-195.0,-2.31234
12,千葉県,12421,一宮町,11900.0,5827.0,6073.0,11767.0,133.0,1.13028,95.94928,22.99,517.6,4972.0,4485.0,487.0,10.85842
12,千葉県,12422,睦沢町,6768.0,3259.0,3509.0,7222.0,-454.0,-6.28635,92.87546,35.59,190.2,2452.0,2434.0,18.0,0.73952
12,千葉県,12423,長生村,13808.0,6800.0,7008.0,14359.0,-551.0,-3.83731,97.03196,28.25,488.8,5596.0,5178.0,418.0,8.07261
12,千葉県,12424,白子町,10311.0,5115.0,5196.0,11149.0,-838.0,-7.51637,98.44111,27.5,374.9,4130.0,4164.0,-34.0,-0.81652
12,千葉県,12426,長柄町,6725.0,3291.0,3434.0,7337.0,-612.0,-8.34128,95.83576,47.11,142.8,2495.0,2591.0,-96.0,-3.70513
12,千葉県,12427,長南町,7205.0,3529.0,3676.0,8206.0,-1001.0,-12.19839,96.00109,65.51,110.0,2635.0,2789.0,-154.0,-5.52169
12,千葉県,12441,大多喜町,8899.0,4312.0,4587.0,9843.0,-944.0,-9.59057,94.0048,129.87,68.5,3373.0,3447.0,-74.0,-2.14679
12,千葉県,12443,御宿町,6882.0,3258.0,3624.0,7315.0,-433.0,-5.91934,89.90066,24.85,276.9,3199.0,3054.0,145.0,4.74787
12,千葉県,12463,鋸南町,6998.0,3356.0,3642.0,8022.0,-1024.0,-12.7649,92.14717,45.19,154.9,3033.0,3327.0,-294.0,-8.83679
13,東京都,13000,東京都,1.4064696E7,6902188.0,7162508.0,1.3515272E7,549424.0,4.06521,96.36552,2194.03,6410.4,7219402.0,6701123.0,518279.0,7.73421
13,東京都,13100,特別区部,9744534.0,4776168.0,4968366.0,9272740.0,471794.0,5.08797,96.13157,627.53,15528.4,5209997.0,4801194.0,408803.0,8.51461
13,東京都,13101,千代田区,66758.0,33686.0,33072.0,58406.0,8352.0,14.2999,101.85656,11.66,5725.4,37396.0,33262.0,4134.0,12.4286
13,東京都,13102,中央区,169318.0,80969.0,88349.0,141183.0,28135.0,19.92804,91.64676,10.21,16583.5,92338.0,79272.0,13066.0,16.48249
13,東京都,13103,港区,260851.0,123542.0,137309.0,243283.0,17568.0,7.22122,89.97371,20.37,12805.6,146114.0,130562.0,15552.0,11.91158
13,東京都,13104,新宿区,349743.0,174810.0,174933.0,333560.0,16183.0,4.8516,99.92969,18.22,19195.6,222820.0,204989.0,17831.0,8.69852
13,東京都,13105,文京区,240297.0,115547.0,124750.0,219724.0,20573.0,9.36311,92.62285,11.29,21284.1,133271.0,120858.0,12413.0,10.27073
13,東京都,13106,台東区,211779.0,108617.0,103162.0,198073.0,13706.0,6.91967,105.2878,10.11,20947.5,124231.0,112117.0,12114.0,10.80478
13,東京都,13107,墨田区,272190.0,134775.0,137415.0,256274.0,15916.0,6.21054,98.07881,13.77,19766.9,145682.0,130862.0,14820.0,11.32491
13,東京都,13108,江東区,524547.0,258009.0,266538.0,498109.0,26438.0,5.30767,96.80008,42.99,12201.6,264307.0,243708.0,20599.0,8.45233
