行政区域コード,公共施設大分類,公共施設小分類,名称,所在地,管理者コード,原典資料名,Lon,Lat
13209,3,3002,東京家政学院生活文化博物館,相原町2600,4,数値地図,
13210,3,3002,東京農工大学工学部附属繊維博物館,中町2-24-16,0,数値地図,139.56722950,35.70608771
13211,3,3002,ＧＡＳ　ＭＵＳＥＵＭ（がす資料館）,大沼町2-590,4,数値地図画像,
13211,3,3002,ふれあい下水道館,上水本町1-25-31,3,数値地図画像,139.46459894,35.72013638
13212,3,3002,日野市郷土資料館,程久保550,3,数値地図画像,139.41150037,35.65253716
13213,3,3002,高松宮記念ハンセン病資料館,青葉町4-1-13,4,数値地図画像,139.50032176,35.76760689
13213,3,3002,東村山ふるさと歴史館,諏訪町1-6-3,3,数値地図画像,139.46552473,35.76675887
13213,3,3002,徳蔵寺板碑保存館,諏訪町1-26-3,4,数値地図画像,139.46797993,35.77069740
13214,3,3002,国分寺市文化財資料展示室,西元町3-10-7,3,数値地図画像,139.47047178,35.69053995
13214,3,3002,国分寺市文化財保存館,西元町1,3,数値地図画像,139.47201317,35.69439788
13214,3,3002,国分寺市民俗資料室,本多5-24-11,3,数値地図画像,139.48514764,35.70679121
13215,3,3002,くにたち郷土文化館,谷保6231,3,数値地図画像,139.43260604,35.67900411
13215,3,3002,たましん歴史・美術館,中1-9-52,4,数値地図,139.44623194,35.69809405
13218,3,3002,福生市郷土資料室,熊川850-1,3,数値地図画像,139.33754568,35.73209287
13220,3,3002,東大和市立郷土博物館,奈良橋1-260-2,3,数値地図,139.42296496,35.75513120
13221,3,3002,清瀬市郷土博物館,上清戸2-6-41,3,数値地図,139.52105859,35.77974756
13223,3,3002,武蔵村山市立歴史民俗資料館,本町5-21-1,3,数値地図画像,139.67633790,35.68458475
13224,3,3002,パルテノン多摩,落合2-35,4,数値地図画像,139.42536720,35.61944423
13224,3,3002,旧多摩聖蹟記念館,連光寺5-1-1,3,数値地図,139.46062727,35.63801239
13224,3,3002,東京都埋蔵文化財センター,落合1-14-2,4,数値地図画像,139.42765007,35.62602960
13227,3,3002,羽村市郷土博物館,羽741,3,数値地図,139.30331420,35.75505305
13228,3,3002,あきる野市五日市郷土館,五日市920-1,3,数値地図画像,139.21698191,35.72842936
13229,3,3002,多摩六都科学館,芝久保町5-10-64,3,数値地図画像,139.52290416,35.73482785
13303,3,3002,瑞穂町郷土資料館,大字石畑1962,3,数値地図画像,139.35675626,35.77462156
13308,3,3002,奥多摩水と緑のふれあい館,原5,3,数値地図画像,140.44847137,37.83643548
13361,3,3002,伊豆大島火山博物館,元町字神田屋敷617,3,数値地図,139.36002568,34.74401183
13361,3,3002,大島町貝類博物館「ぱれ・らめーる」,元町2-20-1,3,数値地図画像,139.65234183,35.87181911
13363,3,3002,新島村博物館,本村2-36-3,3,数値地図画像,139.25922090,34.38159539
13364,3,3002,神津島村郷土資料館,118,3,数値地図画像,139.76208939,35.66725543
13401,3,3002,八丈島歴史民俗資料館,大員郷1186,3,数値地図画像,
13101,3,3003,(財)石川文化事業財団お茶の水図書館,神田駿河台2-9,4,数値地図画像,139.75959671,35.70041563
13101,3,3003,千代田区立四番町図書館,四番町1,3,数値地図画像,139.73959044,35.68942465
13101,3,3003,千代田区立昌平まちかど図書館,外神田3-4-7,3,数値地図画像,139.76979339,35.70122142
13101,3,3003,千代田区立神田まちかど図書館,神田司町2-16,3,数値地図画像,139.76839375,35.69317780
13101,3,3003,千代田区立千代田図書館,九段南1-6-11,3,数値地図画像,139.75248087,35.69386061
13101,3,3003,東京都立日比谷図書館,日比谷公園1-4,2,数値地図画像,139.75455930,35.67183251
13102,3,3003,中央区立京橋図書館,築地1-1-1,3,数値地図画像,139.77200230,35.67058588
13102,3,3003,中央区立月島図書館,月島4-1-1,3,数値地図画像,139.78214069,35.66205932
13102,3,3003,中央区立日本橋図書館,日本橋人形町1-1-17,3,数値地図画像,139.78141837,35.68468465
13103,3,3003,(財)三康文化研究所附属三康図書館,芝公園4-7-4,4,数値地図画像,139.74684939,35.65718947
13103,3,3003,港区立みなと図書館,芝公園3-2-25,3,数値地図画像,139.75012402,35.65989482
13103,3,3003,港区立港南図書館,港南3-3-17,3,数値地図画像,139.74956398,35.63295626
13103,3,3003,港区立高輪図書館,高輪1-16-25（高輪コミュニティーぷらざ3・4F）,3,数値地図画像,139.73408994,35.64193252
13103,3,3003,港区立三田図書館,芝5-28-4,3,数値地図画像,139.74520266,35.64707666
13103,3,3003,港区立赤坂図書館,南青山1-5-15,3,数値地図画像,
13103,3,3003,港区立麻布図書館,六本木5-12-24,3,数値地図画像,139.73579757,35.65757804
13103,3,3003,東京都立中央図書館,南麻布5-7-13,2,数値地図画像,139.72637084,35.65211452
13104,3,3003,新宿区立角筈図書館,西新宿4-33-7,3,数値地図画像,139.68908393,35.68620988
13104,3,3003,新宿区立戸山図書館,戸山2-11-101,3,数値地図画像,
13104,3,3003,新宿区立四谷図書館,内藤町87,3,数値地図画像,139.71442052,35.68757426
13104,3,3003,新宿区立西落合図書館,西落合4-13-17,3,数値地図画像,139.67894986,35.72576342
13104,3,3003,新宿区立大久保図書館,大久保2-12-7,3,数値地図画像,139.70678454,35.70157804
13104,3,3003,新宿区立中央図書館,下落合1-9-8,3,数値地図画像,139.69894299,35.71600953
13104,3,3003,新宿区立中町図書館,中町25,3,数値地図画像,140.56267402,39.59406529
13104,3,3003,新宿区立鶴巻図書館,早稲田鶴巻町521,3,数値地図画像,139.72505771,35.70735844
13104,3,3003,新宿区立北新宿図書館,北新宿3-20-2,3,数値地図画像,139.68946101,35.70297186
13105,3,3003,文京区立鴎外記念本郷図書館,千駄木1-23-4,3,数値地図画像,139.76062921,35.72484930
13105,3,3003,文京区立根津図書室,根津2-20-7,3,数値地図画像,139.76417636,35.71920834
13105,3,3003,文京区立小石川図書館,小石川5-9-20,3,数値地図画像,139.74013382,35.71696055
13105,3,3003,文京区立真砂中央図書館,本郷4-8-15,3,数値地図画像,139.75698262,35.70853967
13105,3,3003,文京区立水道端図書館,水道2-16-14,3,数値地図画像,139.73770369,35.71058896
13105,3,3003,文京区立千石図書館,千石1-25-3,3,数値地図画像,139.74371370,35.72758167
13105,3,3003,文京区立大塚公園みどりの図書室,大塚4-49-2,3,数値地図画像,139.73236759,35.72380680
13105,3,3003,文京区立天神図書室,湯島3-20-7（エミナンス湯島1F）,3,数値地図画像,139.76752387,35.70534870
13105,3,3003,文京区立湯島図書館,本郷3-10-18,3,数値地図画像,139.76369635,35.70398482
13105,3,3003,文京区立本駒込図書館,本駒込4-35-15,3,数値地図画像,139.75514043,35.73346756
13105,3,3003,文京区立目白台図書館,関口3-17-9,3,数値地図画像,139.72548794,35.71513259
13106,3,3003,台東区立根岸図書館,根岸5-18-13,3,数値地図画像,139.79050170,35.72901919
13106,3,3003,台東区立石浜図書館,橋場1-35-16,3,数値地図画像,
13106,3,3003,台東区立中央図書館,西浅草3-25-16,3,数値地図画像,139.78958856,35.71752307
13106,3,3003,台東区立中央図書館浅草橋分室,浅草橋2-8-7,3,数値地図画像,139.78335974,35.69952476
13107,3,3003,墨田区立あずま図書館,文花1-19-1,3,数値地図画像,139.82408286,35.71053623
13107,3,3003,墨田区立寺島図書館,東向島3-34-4,3,数値地図画像,139.81530920,35.72191881
